,Drug,Gene
458,DB00568,1131
459,DB07479,5423
460,DB00441,978
461,DB00078,2213
462,DB00509,7173
463,DB04741,7384
464,DB00502,1812
465,DB01363,154
466,DB01403,147
467,DB01435,1571
468,DB00157,50814
469,DB01565,10206
470,DB00364,2243
471,DB00898,1141
472,DB05472,3454
473,DB00418,2554
474,DB02079,189
475,DB02701,1565
476,DB03039,760
477,DB06875,8648
478,DB01226,1129
479,DB00232,759
480,DB02325,2643
481,DB00169,1576
482,DB05816,1812
483,DB07230,8648
484,DB00171,317
485,DB01065,1544
486,DB00356,3778
487,DB01277,3486
488,DB00599,2557
489,DB01727,50
490,DB07145,6868
491,DB08231,118142757
492,DB08231,2978
493,DB00834,5241
494,DB01267,148
495,DB00476,1544
496,DB00978,1544
497,DB00564,1576
498,DB03253,1803
499,DB08674,100529261
500,DB08674,2342
501,DB02342,1312
502,DB00909,6327
503,DB00921,1559
504,DB00724,51284
505,DB02701,3939
506,DB05435,338557
507,DB08342,58485
508,DB09570,1557
509,DB00458,3269
510,DB00794,2563
511,DB01149,1577
512,DB05469,147
513,DB03516,316
514,DB06692,1504
515,DB07410,9453
516,DB04512,392399
517,DB00361,1576
518,DB00201,3710
519,DB00152,10560
520,DB01289,3764
521,DB01221,1559
522,DB02404,43
523,DB05295,7421
524,DB00398,1565
525,DB00531,1576
526,DB07406,9261
527,DB00973,1576
528,DB02266,8644
529,DB00078,713
530,DB00724,51311
531,DB00977,2099
532,DB07597,5409
534,DB03680,4200
535,DB00349,2564
536,DB00926,6258
537,DB01411,3567
538,DB02661,9061
539,DB03721,6614
540,DB07766,5127
541,DB00569,462
542,DB01873,10381
543,DB06216,3363
544,DB00831,1544
545,DB00095,714
546,DB00849,2891
547,DB01752,80854
548,DB06738,54600
549,DB01159,2560
550,DB00895,2205
551,DB05171,55851
552,DB01236,2555
553,DB08818,145864
554,DB02379,3957
555,DB00139,8985
556,DB01049,9177
557,DB02890,7372
558,DB00328,7364
559,DB04880,5139
560,DB08437,6132
561,DB00171,84532
562,DB03535,5550
563,DB07374,23521
564,DB06064,5581
565,DB00788,1558
566,DB06678,3269
567,DB07947,5569
568,DB08892,9568
569,DB00744,1559
570,DB01181,100861540
571,DB01181,1551
572,DB00540,154
573,DB00906,6529
574,DB00484,152
575,DB00157,4199
576,DB07119,8648
577,DB01589,2554
578,DB02767,23643
579,DB00734,148
580,DB06707,6530
581,DB07014,2932
582,DB09102,1576
583,DB00091,10105
584,DB00480,51185
585,DB03193,26279
586,DB03147,7498
587,DB00546,2556
588,DB01009,5743
589,DB05461,3357
590,DB01173,1576
591,DB01095,1544
592,DB03907,1312
593,DB01435,1548
594,DB01059,1576
595,DB00692,150
596,DB05920,7153
597,DB07232,142
598,DB01370,7018
599,DB00696,147
600,DB00589,1813
601,DB00248,3350
602,DB07744,834
603,DB01136,1576
604,DB07254,2050
605,DB04195,5837
606,DB04316,1357
607,DB05694,2798
608,DB01058,1544
609,DB07080,10062
610,DB06891,760
611,DB00013,5329
612,DB00400,3859
613,DB01048,54658
614,DB04946,1813
615,DB01392,1565
616,DB00753,2566
617,DB06697,1555
618,DB00413,1812
619,DB00780,1577
620,DB00818,2556
621,DB01231,1128
622,DB08491,4312
623,DB00989,1565
624,DB08231,27095
625,DB00898,1143
626,DB01645,2100
627,DB01559,200959
628,DB01777,15
629,DB01174,1571
630,DB01562,1565
631,DB01892,5742
632,DB06869,2147
633,DB00454,1557
634,DB05168,2348
635,DB07974,2159
637,DB00052,2690
638,DB03127,5653
639,DB06969,3320
640,DB06854,2147
641,DB04905,1565
642,DB01221,1128
643,DB08325,10461
644,DB00933,3356
645,DB00703,766
646,DB01242,3356
647,DB04464,795
648,DB08065,6790
649,DB05025,6647
650,DB00186,2565
651,DB01077,5802
652,DB03791,7376
653,DB01118,9254
654,DB08097,1432
655,DB00157,3294
656,DB01595,55879
657,DB00197,1555
658,DB00148,1160
659,DB07274,3791
660,DB00619,5742
661,DB00988,1559
662,DB07737,23621
663,DB00142,10404
664,DB04251,590
665,DB00408,153
666,DB01104,1557
667,DB01361,1559
668,DB01345,476
669,DB06756,590
670,DB06980,6500
671,DB00436,762
672,DB03267,5105
673,DB05115,3643
674,DB01165,1544
675,DB00470,1557
676,DB00725,1129
677,DB01238,100861540
678,DB01238,1551
679,DB08148,5569
680,DB03935,308
681,DB01118,1548
682,DB08042,3791
683,DB00783,2099
684,DB08018,4842
685,DB01551,1576
686,DB01054,1577
687,DB00325,1543
688,DB01185,367
689,DB04922,781
690,DB00898,2891
691,DB06616,4067
692,DB00112,713
693,DB00458,3362
694,DB00197,2101
695,DB04132,2739
696,DB00377,1576
697,DB06204,1557
698,DB00334,59340
699,DB01708,2560
700,DB05014,5159
701,DB02910,1632
702,DB00528,1576
703,DB00228,2567
704,DB05470,3569
705,DB00413,1815
706,DB03814,26013
707,DB06292,1559
708,DB00073,2214
709,DB00584,1576
710,DB07299,2160
711,DB00543,1131
712,DB04845,1576
713,DB06228,1573
714,DB00009,2243
715,DB00997,4722
716,DB01591,1133
717,DB01437,2560
718,DB08912,673
719,DB00997,4720
720,DB04216,133688
721,DB05075,2324
722,DB07763,7388
723,DB01267,3356
724,DB05311,3818
725,DB00710,2224
726,DB02562,5053
727,DB04476,3934
728,DB00514,1139
729,DB00514,89832
730,DB00334,155
731,DB00157,2746
732,DB02696,2683
733,DB00342,1573
734,DB00641,7364
735,DB06825,2798
736,DB06204,1565
737,DB04953,3786
738,DB05812,1576
739,DB00126,55217
740,DB00514,1141
741,DB01186,148
742,DB00904,1559
743,DB00408,1131
744,DB01807,1432
745,DB08322,5837
746,DB03982,5770
747,DB00042,6843
748,DB00145,2841
749,DB07712,2099
750,DB08907,6523
751,DB07529,1017
752,DB03070,3615
753,DB00916,1595
754,DB00700,1576
755,DB05455,553
757,DB00917,1588
758,DB00999,759
759,DB00532,1559
760,DB02490,1158
761,DB00139,8630
762,DB06741,116443
763,DB06603,55869
764,DB08918,1557
765,DB00758,1544
766,DB00837,2550
767,DB01631,3934
768,DB01159,3778
769,DB02691,2172
770,DB01234,1565
771,DB03147,51706
772,DB00463,2898
773,DB00036,2677
774,DB00311,760
775,DB00711,240
776,DB00726,147
777,DB01791,5143
778,DB01359,153
779,DB00334,3352
780,DB00363,152
781,DB07456,5170
782,DB00398,2322
783,DB00412,5468
784,DB01026,1583
785,DB01238,3359
786,DB08403,4317
787,DB07530,8648
788,DB00637,1576
789,DB00132,9415
790,DB00542,4524
791,DB00818,1558
792,DB06419,1577
793,DB00268,1816
794,DB00368,154
795,DB01015,1559
796,DB00363,1548
797,DB00799,5914
798,DB00250,1576
799,DB00613,1559
800,DB03080,3320
801,DB00987,1635
802,DB01283,5743
803,DB06637,3744
804,DB01325,759
805,DB02518,231
806,DB04912,3162
807,DB00364,1950
808,DB04419,5741
809,DB01033,5471
810,DB03670,5770
811,DB01204,1571
812,DB00363,1813
813,DB00445,1105
814,DB07471,1017
815,DB04653,823
816,DB00334,1128
817,DB07106,3176
818,DB00039,2263
819,DB00192,6331
820,DB00201,5138
821,DB06637,3750
822,DB01221,116443
823,DB00611,4986
824,DB07598,2891
825,DB03814,435
826,DB00250,5742
827,DB00343,786
828,DB00111,9103
829,DB07048,760
830,DB00162,54884
831,DB00241,2556
832,DB00687,2908
833,DB01884,1803
834,DB00114,285313
835,DB00586,240
836,DB03159,5644
837,DB01418,79001
838,DB07793,5837
839,DB01183,4985
840,DB01028,1548
841,DB00683,2560
842,DB08755,1520
843,DB04906,5535
844,DB00370,154
845,DB00571,1565
846,DB01026,1584
847,DB00499,1545
848,DB00139,8802
849,DB05387,4321
850,DB00188,1559
851,DB00988,4128
852,DB05194,1438
853,DB03509,142
854,DB02067,6470
855,DB00829,1562
856,DB00145,2653
857,DB07749,1504
858,DB00768,6284
859,DB08119,1504
860,DB07905,5594
861,DB08873,1576
862,DB00801,2557
863,DB00421,1558
864,DB01388,782
865,DB02692,4846
866,DB00171,291
867,DB00773,5743
868,DB00811,3614
869,DB03247,55163
870,DB06655,2740
871,DB00972,1559
872,DB04021,43
873,DB06853,2147
874,DB03672,590
875,DB00920,5150
876,DB00977,8856
877,DB05804,5743
878,DB00114,9054
879,DB00237,55879
880,DB00836,4988
881,DB01156,1555
882,DB03880,10863
883,DB01201,100861540
884,DB01201,1551
885,DB01601,1576
886,DB00246,1132
887,DB01497,4985
888,DB02407,1017
889,DB00852,1386
890,DB03374,5569
891,DB05900,3480
892,DB00363,3269
893,DB05467,5916
894,DB06282,1576
895,DB00157,4702
896,DB00943,1576
897,DB02010,7535
898,DB00270,9254
899,DB00683,2556
900,DB00349,2558
901,DB02322,6352
902,DB05921,3065
903,DB00690,55879
904,DB01039,1558
905,DB02158,4507
906,DB00753,2560
907,DB01015,5742
908,DB04560,210
909,DB01558,2565
910,DB00321,148
911,DB06713,5241
912,DB01174,1548
913,DB01275,1576
914,DB06413,1544
915,DB01109,2159
916,DB00412,1558
917,DB01049,55879
918,DB00177,1559
919,DB01245,1135
920,DB03194,4153
921,DB00290,3980
922,DB00466,2569
923,DB04137,2746
924,DB01046,873
925,DB01283,1557
926,DB00157,4541
927,DB00458,1129
928,DB00116,10841
929,DB02701,1571
930,DB01014,5743
931,DB00408,150
932,DB08848,6539
933,DB01159,2903
934,DB00175,3156
935,DB00306,55879
936,DB05023,3480
937,DB05301,834
938,DB00780,2875
939,DB01373,1311
940,DB04141,7385
941,DB00338,1562
942,DB03732,683
943,DB00818,1562
944,DB01205,2556
945,DB04325,5644
946,DB07102,4048
947,DB00690,2564
948,DB00713,6565
949,DB00432,1890
950,DB00393,4306
951,DB01215,200959
952,DB00091,100861540
953,DB00091,1551
954,DB01043,1555
955,DB00968,1644
956,DB02953,4317
957,DB06372,3557
958,DB00756,6392
959,DB00850,1544
960,DB00988,4129
961,DB01646,6010
962,DB00606,762
963,DB00543,2560
964,DB01241,1557
965,DB09068,1558
966,DB01392,3350
967,DB01200,1576
968,DB07537,3791
969,DB00946,1558
970,DB00233,4353
971,DB07359,2645
972,DB08687,3091
973,DB01497,10206
974,DB00172,6534
975,DB03596,760
976,DB00311,762
977,DB01149,100861540
978,DB01149,1551
979,DB08897,1133
980,DB08846,759
981,DB00142,2746
982,DB01915,718
983,DB00349,2562
984,DB06741,2903
985,DB04855,151
986,DB06712,1558
987,DB01288,155
988,DB00758,1557
989,DB00514,1577
990,DB04552,5321
991,DB08437,140801
992,DB00620,590
993,DB00151,833
994,DB00114,84706
995,DB00289,6532
996,DB00904,3350
997,DB08149,5566
998,DB06616,818
999,DB03878,25
1000,DB00010,2692
1001,DB06678,3357
1002,DB08901,3932
1003,DB00186,2558
1004,DB00475,2562
1005,DB02742,11253
1006,DB00734,100861540
1007,DB00734,1551
1008,DB01110,1544
1009,DB00798,4036
1010,DB00276,3757
1011,DB00612,154
1012,DB09016,3356
1013,DB01116,57053
1014,DB07508,2147
1015,DB00813,4985
1016,DB04001,5770
1017,DB00801,55879
1018,DB00788,54658
1019,DB01577,4128
1020,DB07067,1803
1021,DB00871,590
1022,DB07519,23621
1023,DB00582,1577
1024,DB00092,9103
1025,DB00143,2954
1026,DB06694,146
1027,DB00030,1509
1028,DB00849,2555
1029,DB00228,2566
1030,DB07037,1111
1031,DB00814,5742
1032,DB00898,3760
1033,DB01791,5142
1034,DB00328,5742
1035,DB05676,5144
1036,DB02340,2162
1037,DB00002,2215
1038,DB00675,5582
1039,DB03773,279
1040,DB00546,1557
1041,DB00343,1576
1042,DB00898,9177
1043,DB05849,154
1044,DB00960,3350
1045,DB07678,2099
1046,DB08231,7099
1047,DB06726,153
1048,DB01035,590
1049,DB01254,6714
1050,DB07444,1612
1051,DB02741,5916
1052,DB01049,2555
1053,DB01169,1545
1054,DB04829,3350
1055,DB00690,2565
1056,DB00188,5688
1057,DB01649,28960
1058,DB01119,759
1059,DB00917,5732
1060,DB05146,3791
1061,DB00119,6567
1062,DB04896,6530
1063,DB01129,1543
1064,DB00186,2555
1065,DB01742,5478
1066,DB04786,2492
1067,DB02670,8467
1068,DB01049,170572
1069,DB01902,56605
1070,DB04272,1431
1071,DB01281,941
1072,DB00813,1577
1073,DB00022,3454
1074,DB01337,590
1075,DB07350,55869
1076,DB01192,1576
1077,DB07533,890
1078,DB00005,9103
1079,DB00370,6530
1080,DB03010,7846
1081,DB05429,6356
1082,DB08916,2064
1083,DB00703,1565
1084,DB00157,4835
1085,DB06716,2561
1086,DB00393,785
1087,DB01946,5170
1088,DB06741,1559
1089,DB00988,1814
1090,DB00075,917
1091,DB00334,154
1092,DB00142,2571
1093,DB06148,146
1094,DB01156,1565
1095,DB00655,1545
1096,DB00786,4322
1097,DB01587,1576
1098,DB08020,2100
1099,DB06957,3320
1100,DB00531,1565
1101,DB00909,377677
1102,DB00210,5915
1103,DB00411,1128
1104,DB01173,116444
1105,DB00464,5627
1106,DB00762,8824
1107,DB02974,1555
1108,DB09043,2740
1109,DB06693,3156
1110,DB06237,1576
1111,DB00193,4985
1112,DB00836,1565
1113,DB00939,3786
1114,DB01577,6532
1115,DB06729,1548
1116,DB00912,1576
1117,DB08263,55662
1118,DB06692,5340
1119,DB00852,122953
1120,DB08629,498
1121,DB08923,2057
1122,DB00031,5054
1123,DB00144,55627
1124,DB01028,1565
1125,DB01064,153
1126,DB07991,2099
1127,DB01410,1565
1128,DB01656,5143
1129,DB03404,4151
1130,DB00983,1557
1131,DB00503,1577
1132,DB04076,4860
1133,DB00851,1543
1134,DB00200,166785
1135,DB00604,1577
1136,DB01177,1559
1137,DB04464,1340
1138,DB00131,5292
1139,DB00246,3363
1140,DB01038,1813
1141,DB08781,1111
1142,DB00182,147
1143,DB00972,1577
1144,DB00942,1128
1145,DB04982,2890
1146,DB07705,1595
1147,DB00034,3455
1148,DB01355,2558
1149,DB03900,10988
1150,DB08250,3832
1151,DB01160,5737
1152,DB01115,781
1153,DB00755,6257
1154,DB07730,5770
1155,DB01248,596
1156,DB01236,1571
1157,DB05752,1132
1158,DB00054,716
1159,DB00239,1576
1160,DB00690,2555
1161,DB06905,5515
1162,DB00674,55584
1163,DB01159,2564
1164,DB01708,2904
1165,DB00726,3356
1166,DB02659,2104
1167,DB06836,5294
1168,DB01239,1133
1169,DB00682,1558
1170,DB01277,3480
1171,DB08454,57118
1172,DB00864,2280
1173,DB00241,2566
1174,DB03056,1066
1175,DB01049,2554
1176,DB04801,5467
1177,DB01024,7364
1178,DB04465,51228
1179,DB09330,1576
1180,DB04315,4831
1181,DB04315,654364
1182,DB00384,6340
1183,DB00324,1576
1184,DB01558,2554
1185,DB02198,5742
1186,DB02464,5645
1187,DB04847,112399
1188,DB00562,760
1189,DB01244,9254
1190,DB00667,3274
1191,DB06738,2903
1192,DB07780,5875
1193,DB01440,2560
1194,DB06216,3357
1195,DB00128,1615
1196,DB05415,8654
1197,DB01229,1576
1198,DB00849,2558
1199,DB04013,5837
1200,DB01681,5224
1201,DB03468,5409
1202,DB00628,2558
1203,DB06921,1360
1204,DB00736,1557
1205,DB01576,1565
1206,DB00203,5149
1207,DB07625,5328
1208,DB06714,6571
1209,DB04495,6714
1210,DB07698,83903
1211,DB00501,1565
1212,DB00420,1131
1213,DB03956,5333
1214,DB03341,15
1215,DB02795,5319
1216,DB00157,3028
1217,DB00786,4320
1218,DB00774,762
1219,DB03092,276
1220,DB03092,277
1221,DB03092,278
1222,DB01927,1728
1223,DB00751,1576
1224,DB00221,154
1225,DB00277,3066
1226,DB04272,9955
1227,DB00999,771
1228,DB04106,7296
1229,DB01254,7525
1230,DB00318,1576
1231,DB01103,8398
1233,DB00938,154
1234,DB04894,6755
1235,DB01156,6530
1236,DB09079,2263
1237,DB00321,3786
1238,DB00062,54600
1239,DB00934,1544
1240,DB01355,2898
1241,DB07175,23621
1242,DB07272,9479
1243,DB08058,10039
1244,DB01403,1544
1245,DB00234,6530
1246,DB00877,1576
1247,DB00477,3356
1248,DB00431,2742
1249,DB02071,4322
1250,DB03088,440021
1251,DB00935,150
1252,DB00960,1565
1253,DB00157,4200
1254,DB00918,1544
1255,DB00472,1544
1256,DB00898,55584
1257,DB00775,3690
1258,DB00651,27115
1259,DB00624,1553
1260,DB05335,5742
1261,DB00130,440
1262,DB07521,2147
1263,DB01660,6853
1264,DB07430,9261
1265,DB07612,1017
1266,DB01336,1129
1267,DB04282,3938
1268,DB00688,3614
1269,DB00157,7299
1270,DB00401,1576
1271,DB00810,1135
1272,DB00688,7364
1273,DB08569,5566
1274,DB08179,2739
1275,DB01437,55879
1276,DB04074,587
1277,DB02659,9377
1278,DB00408,1814
1279,DB07437,7378
1280,DB03685,54963
1281,DB00259,1565
1282,DB00962,2554
1283,DB04832,4129
1284,DB00155,51702
1285,DB01205,2563
1286,DB00114,57026
1287,DB00215,1576
1288,DB01248,4134
1289,DB00128,444
1290,DB06973,2104
1291,DB00157,1727
1292,DB00172,5478
1293,DB05787,3690
1294,DB06127,1803
1295,DB00312,2905
1296,DB01656,5142
1297,DB00140,4524
1298,DB00162,51109
1299,DB00762,1577
1301,DB01810,8722
1302,DB06216,1565
1303,DB01708,2564
1304,DB05744,3586
1305,DB00992,2209
1306,DB01138,1555
1307,DB00997,4843
1308,DB02398,5328
1309,DB05867,8869
1310,DB00040,2642
1311,DB01113,10846
1312,DB06741,2904
1313,DB00932,1576
1314,DB01625,1132
1315,DB00728,3359
1316,DB01213,124
1317,DB06701,1565
1318,DB08875,3791
1319,DB01059,1577
1320,DB01267,1576
1321,DB00543,3363
1322,DB03345,2739
1323,DB00231,1559
1324,DB00015,5329
1325,DB00243,6335
1326,DB00328,1066
1327,DB01018,1559
1328,DB06730,1577
1329,DB07086,10499
1330,DB01268,5159
1331,DB00678,7367
1332,DB00313,6336
1333,DB01015,9
1334,DB00078,931
1335,DB01280,1716
1336,DB04917,3359
1337,DB01079,1544
1338,DB01005,1565
1339,DB00518,10383
1340,DB00321,3269
1341,DB02818,2891
1342,DB00541,1577
1343,DB02221,760
1344,DB00543,1814
1345,DB07447,6718
1346,DB00402,2557
1347,DB07708,2099
1348,DB00253,2908
1349,DB00818,2568
1350,DB00145,8001
1351,DB01279,10226
1352,DB00852,22809
1353,DB03536,8722
1354,DB00882,1588
1355,DB01130,2908
1356,DB01645,7153
1357,DB05481,5265
1358,DB04493,2203
1359,DB06695,54600
1360,DB00835,1132
1361,DB07628,5315
1362,DB00347,1558
1363,DB01012,846
1364,DB00707,3949
1365,DB01090,1136
1366,DB01628,1576
1367,DB08889,5699
1368,DB00604,1548
1369,DB01403,1816
1370,DB01708,2562
1371,DB07374,140801
1372,DB00586,3785
1373,DB01200,3363
1374,DB00134,51734
1375,DB04315,122622
1376,DB06042,203068
1377,DB06716,249
1378,DB00659,2555
1379,DB04714,9453
1380,DB00721,27094
1381,DB07772,4317
1382,DB03701,1576
