,Disease,Disease Name,Gene
258,C0236969,Substance-Related Disorders,1962
259,C0236969,Substance-Related Disorders,2120
260,C0236969,Substance-Related Disorders,2166
261,C0236969,Substance-Related Disorders,2272
262,C0236969,Substance-Related Disorders,22925
263,C0236969,Substance-Related Disorders,22998
264,C0236969,Substance-Related Disorders,23034
265,C0236969,Substance-Related Disorders,23214
266,C0236969,Substance-Related Disorders,23307
267,C0236969,Substance-Related Disorders,23345
268,C0236969,Substance-Related Disorders,253782
269,C0236969,Substance-Related Disorders,25807
270,C0236969,Substance-Related Disorders,259217
271,C0236969,Substance-Related Disorders,26230
272,C0236969,Substance-Related Disorders,27146
273,C0236969,Substance-Related Disorders,2893
274,C0236969,Substance-Related Disorders,2898
275,C0236969,Substance-Related Disorders,29119
276,C0236969,Substance-Related Disorders,29126
277,C0236969,Substance-Related Disorders,2915
278,C0236969,Substance-Related Disorders,2917
279,C0236969,Substance-Related Disorders,29922
280,C0236969,Substance-Related Disorders,344805
281,C0236969,Substance-Related Disorders,3643
282,C0236969,Substance-Related Disorders,3899
283,C0236969,Substance-Related Disorders,3983
284,C0236969,Substance-Related Disorders,401207
285,C0236969,Substance-Related Disorders,4482
286,C0236969,Substance-Related Disorders,4646
287,C0236969,Substance-Related Disorders,481
288,C0236969,Substance-Related Disorders,4852
289,C0236969,Substance-Related Disorders,4897
290,C0236969,Substance-Related Disorders,4985
291,C0236969,Substance-Related Disorders,5087
292,C0236969,Substance-Related Disorders,51082
293,C0236969,Substance-Related Disorders,51151
294,C0236969,Substance-Related Disorders,5137
295,C0236969,Substance-Related Disorders,51660
296,C0236969,Substance-Related Disorders,5366
297,C0236969,Substance-Related Disorders,54927
298,C0236969,Substance-Related Disorders,55198
299,C0236969,Substance-Related Disorders,55297
300,C0236969,Substance-Related Disorders,55690
301,C0236969,Substance-Related Disorders,55691
302,C0236969,Substance-Related Disorders,55717
303,C0236969,Substance-Related Disorders,55742
304,C0236969,Substance-Related Disorders,5581
305,C0236969,Substance-Related Disorders,5583
306,C0236969,Substance-Related Disorders,55930
307,C0236969,Substance-Related Disorders,57451
308,C0236969,Substance-Related Disorders,5768
309,C0236969,Substance-Related Disorders,57733
310,C0236969,Substance-Related Disorders,5890
311,C0236969,Substance-Related Disorders,64131
312,C0236969,Substance-Related Disorders,64478
313,C0236969,Substance-Related Disorders,64866
314,C0236969,Substance-Related Disorders,65217
315,C0236969,Substance-Related Disorders,6532
316,C0236969,Substance-Related Disorders,6555
317,C0236969,Substance-Related Disorders,6581
318,C0236969,Substance-Related Disorders,7260
319,C0236969,Substance-Related Disorders,79632
320,C0236969,Substance-Related Disorders,79750
321,C0236969,Substance-Related Disorders,79809
322,C0236969,Substance-Related Disorders,79875
323,C0236969,Substance-Related Disorders,80031
324,C0236969,Substance-Related Disorders,80034
325,C0236969,Substance-Related Disorders,80095
326,C0236969,Substance-Related Disorders,80206
327,C0236969,Substance-Related Disorders,8048
328,C0236969,Substance-Related Disorders,81035
329,C0236969,Substance-Related Disorders,83938
330,C0236969,Substance-Related Disorders,8412
331,C0236969,Substance-Related Disorders,84247
332,C0236969,Substance-Related Disorders,84668
333,C0236969,Substance-Related Disorders,84871
334,C0236969,Substance-Related Disorders,8569
335,C0236969,Substance-Related Disorders,9128
336,C0236969,Substance-Related Disorders,91752
337,C0236969,Substance-Related Disorders,9271
338,C0236969,Substance-Related Disorders,93664
339,C0236969,Substance-Related Disorders,9369
340,C0236969,Substance-Related Disorders,9465
341,C0236969,Substance-Related Disorders,9547
342,C0236969,Substance-Related Disorders,9557
343,C0236969,Substance-Related Disorders,9748
344,C0002878,"Anemia, Hemolytic",2056
345,C0002878,"Anemia, Hemolytic",2539
346,C0002878,"Anemia, Hemolytic",2729
347,C0002878,"Anemia, Hemolytic",2821
348,C0002878,"Anemia, Hemolytic",2936
349,C0002878,"Anemia, Hemolytic",3043
350,C0002878,"Anemia, Hemolytic",3162
351,C0002878,"Anemia, Hemolytic",3440
352,C0002878,"Anemia, Hemolytic",3704
353,C0002878,"Anemia, Hemolytic",6521
354,C0002878,"Anemia, Hemolytic",6710
355,C0002878,"Anemia, Hemolytic",7167
356,C0003873,Rheumatoid Arthritis,100506023
357,C0003873,Rheumatoid Arthritis,10057
358,C0003873,Rheumatoid Arthritis,10125
359,C0003873,Rheumatoid Arthritis,101927437
360,C0003873,Rheumatoid Arthritis,1021
361,C0003873,Rheumatoid Arthritis,10257
362,C0003873,Rheumatoid Arthritis,10274
363,C0003873,Rheumatoid Arthritis,10586
364,C0003873,Rheumatoid Arthritis,10628
365,C0003873,Rheumatoid Arthritis,10665
366,C0003873,Rheumatoid Arthritis,10666
367,C0003873,Rheumatoid Arthritis,10678
368,C0003873,Rheumatoid Arthritis,10745
369,C0003873,Rheumatoid Arthritis,10956
370,C0003873,Rheumatoid Arthritis,11102
371,C0003873,Rheumatoid Arthritis,11170
372,C0003873,Rheumatoid Arthritis,117289
373,C0003873,Rheumatoid Arthritis,122618
374,C0003873,Rheumatoid Arthritis,1235
375,C0003873,Rheumatoid Arthritis,1244
376,C0003873,Rheumatoid Arthritis,130540
377,C0003873,Rheumatoid Arthritis,135
378,C0003873,Rheumatoid Arthritis,1356
379,C0003873,Rheumatoid Arthritis,1401
380,C0003873,Rheumatoid Arthritis,1404
381,C0003873,Rheumatoid Arthritis,1437
382,C0003873,Rheumatoid Arthritis,1490
383,C0003873,Rheumatoid Arthritis,1493
384,C0003873,Rheumatoid Arthritis,150577
385,C0003873,Rheumatoid Arthritis,1509
386,C0003873,Rheumatoid Arthritis,151056
387,C0003873,Rheumatoid Arthritis,156
388,C0003873,Rheumatoid Arthritis,160364
389,C0003873,Rheumatoid Arthritis,1656
390,C0003873,Rheumatoid Arthritis,1687
391,C0003873,Rheumatoid Arthritis,171425
392,C0003873,Rheumatoid Arthritis,1719
393,C0003873,Rheumatoid Arthritis,176
394,C0003873,Rheumatoid Arthritis,177
395,C0003873,Rheumatoid Arthritis,1776
396,C0003873,Rheumatoid Arthritis,1803
397,C0003873,Rheumatoid Arthritis,1827
398,C0003873,Rheumatoid Arthritis,196
399,C0003873,Rheumatoid Arthritis,200734
400,C0003873,Rheumatoid Arthritis,2023
401,C0003873,Rheumatoid Arthritis,2147
402,C0003873,Rheumatoid Arthritis,219790
403,C0003873,Rheumatoid Arthritis,2212
404,C0003873,Rheumatoid Arthritis,221895
405,C0003873,Rheumatoid Arthritis,22806
406,C0003873,Rheumatoid Arthritis,2289
407,C0003873,Rheumatoid Arthritis,23228
408,C0003873,Rheumatoid Arthritis,23534
409,C0003873,Rheumatoid Arthritis,2356
410,C0003873,Rheumatoid Arthritis,23569
411,C0003873,Rheumatoid Arthritis,23643
412,C0003873,Rheumatoid Arthritis,23766
413,C0003873,Rheumatoid Arthritis,240
414,C0003873,Rheumatoid Arthritis,26147
415,C0003873,Rheumatoid Arthritis,2618
416,C0003873,Rheumatoid Arthritis,26191
417,C0003873,Rheumatoid Arthritis,2625
418,C0003873,Rheumatoid Arthritis,2638
419,C0003873,Rheumatoid Arthritis,285704
420,C0003873,Rheumatoid Arthritis,2870
421,C0003873,Rheumatoid Arthritis,2920
422,C0003873,Rheumatoid Arthritis,2974
423,C0003873,Rheumatoid Arthritis,3059
424,C0003873,Rheumatoid Arthritis,306
425,C0003873,Rheumatoid Arthritis,3115
426,C0003873,Rheumatoid Arthritis,3118
427,C0003873,Rheumatoid Arthritis,3123
428,C0003873,Rheumatoid Arthritis,3236
429,C0003873,Rheumatoid Arthritis,3237
430,C0003873,Rheumatoid Arthritis,3239
431,C0003873,Rheumatoid Arthritis,326
432,C0003873,Rheumatoid Arthritis,3290
433,C0003873,Rheumatoid Arthritis,3394
434,C0003873,Rheumatoid Arthritis,342132
435,C0003873,Rheumatoid Arthritis,3458
436,C0003873,Rheumatoid Arthritis,3486
437,C0003873,Rheumatoid Arthritis,3491
438,C0003873,Rheumatoid Arthritis,3516
439,C0003873,Rheumatoid Arthritis,3553
440,C0003873,Rheumatoid Arthritis,3557
441,C0003873,Rheumatoid Arthritis,3559
442,C0003873,Rheumatoid Arthritis,356
443,C0003873,Rheumatoid Arthritis,3560
444,C0003873,Rheumatoid Arthritis,3569
445,C0003873,Rheumatoid Arthritis,3570
446,C0003873,Rheumatoid Arthritis,3572
447,C0003873,Rheumatoid Arthritis,3576
448,C0003873,Rheumatoid Arthritis,3586
449,C0003873,Rheumatoid Arthritis,3606
450,C0003873,Rheumatoid Arthritis,3654
451,C0003873,Rheumatoid Arthritis,3655
452,C0003873,Rheumatoid Arthritis,3663
453,C0003873,Rheumatoid Arthritis,3798
454,C0003873,Rheumatoid Arthritis,3899
455,C0003873,Rheumatoid Arthritis,3934
456,C0003873,Rheumatoid Arthritis,4082
457,C0003873,Rheumatoid Arthritis,412
458,C0003873,Rheumatoid Arthritis,4204
459,C0003873,Rheumatoid Arthritis,4218
460,C0003873,Rheumatoid Arthritis,4261
461,C0003873,Rheumatoid Arthritis,4282
462,C0003873,Rheumatoid Arthritis,4313
463,C0003873,Rheumatoid Arthritis,4319
464,C0003873,Rheumatoid Arthritis,4321
465,C0003873,Rheumatoid Arthritis,4353
466,C0003873,Rheumatoid Arthritis,4520
467,C0003873,Rheumatoid Arthritis,4524
468,C0003873,Rheumatoid Arthritis,4688
469,C0003873,Rheumatoid Arthritis,471
470,C0003873,Rheumatoid Arthritis,4794
471,C0003873,Rheumatoid Arthritis,4795
472,C0003873,Rheumatoid Arthritis,4982
473,C0003873,Rheumatoid Arthritis,50943
474,C0003873,Rheumatoid Arthritis,5138
475,C0003873,Rheumatoid Arthritis,51561
476,C0003873,Rheumatoid Arthritis,51744
477,C0003873,Rheumatoid Arthritis,5243
478,C0003873,Rheumatoid Arthritis,53347
479,C0003873,Rheumatoid Arthritis,5341
480,C0003873,Rheumatoid Arthritis,5444
481,C0003873,Rheumatoid Arthritis,5453
482,C0003873,Rheumatoid Arthritis,54541
483,C0003873,Rheumatoid Arthritis,54826
484,C0003873,Rheumatoid Arthritis,54899
485,C0003873,Rheumatoid Arthritis,55289
486,C0003873,Rheumatoid Arthritis,55755
487,C0003873,Rheumatoid Arthritis,5583
488,C0003873,Rheumatoid Arthritis,5588
489,C0003873,Rheumatoid Arthritis,55937
490,C0003873,Rheumatoid Arthritis,55971
491,C0003873,Rheumatoid Arthritis,56244
492,C0003873,Rheumatoid Arthritis,5673
493,C0003873,Rheumatoid Arthritis,56901
494,C0003873,Rheumatoid Arthritis,57007
495,C0003873,Rheumatoid Arthritis,5743
496,C0003873,Rheumatoid Arthritis,5747
497,C0003873,Rheumatoid Arthritis,57705
498,C0003873,Rheumatoid Arthritis,5771
499,C0003873,Rheumatoid Arthritis,57719
500,C0003873,Rheumatoid Arthritis,5788
501,C0003873,Rheumatoid Arthritis,5890
502,C0003873,Rheumatoid Arthritis,5911
503,C0003873,Rheumatoid Arthritis,5966
504,C0003873,Rheumatoid Arthritis,597
505,C0003873,Rheumatoid Arthritis,624
506,C0003873,Rheumatoid Arthritis,633
507,C0003873,Rheumatoid Arthritis,6355
508,C0003873,Rheumatoid Arthritis,6366
509,C0003873,Rheumatoid Arthritis,6372
510,C0003873,Rheumatoid Arthritis,639
511,C0003873,Rheumatoid Arthritis,640
512,C0003873,Rheumatoid Arthritis,6441
513,C0003873,Rheumatoid Arthritis,652
514,C0003873,Rheumatoid Arthritis,652968
515,C0003873,Rheumatoid Arthritis,653361
516,C0003873,Rheumatoid Arthritis,654
517,C0003873,Rheumatoid Arthritis,6556
518,C0003873,Rheumatoid Arthritis,6583
519,C0003873,Rheumatoid Arthritis,6611
520,C0003873,Rheumatoid Arthritis,6648
521,C0003873,Rheumatoid Arthritis,6772
522,C0003873,Rheumatoid Arthritis,6775
523,C0003873,Rheumatoid Arthritis,6821
524,C0003873,Rheumatoid Arthritis,7090
525,C0003873,Rheumatoid Arthritis,7097
526,C0003873,Rheumatoid Arthritis,7112
527,C0003873,Rheumatoid Arthritis,7124
528,C0003873,Rheumatoid Arthritis,7127
529,C0003873,Rheumatoid Arthritis,7128
530,C0003873,Rheumatoid Arthritis,7185
531,C0003873,Rheumatoid Arthritis,7189
532,C0003873,Rheumatoid Arthritis,7297
533,C0003873,Rheumatoid Arthritis,7422
534,C0003873,Rheumatoid Arthritis,7852
535,C0003873,Rheumatoid Arthritis,79016
536,C0003873,Rheumatoid Arthritis,7917
537,C0003873,Rheumatoid Arthritis,79258
538,C0003873,Rheumatoid Arthritis,79722
539,C0003873,Rheumatoid Arthritis,7980
540,C0003873,Rheumatoid Arthritis,800
541,C0003873,Rheumatoid Arthritis,8013
542,C0003873,Rheumatoid Arthritis,81567
543,C0003873,Rheumatoid Arthritis,81849
544,C0003873,Rheumatoid Arthritis,8200
545,C0003873,Rheumatoid Arthritis,8320
546,C0003873,Rheumatoid Arthritis,84159
547,C0003873,Rheumatoid Arthritis,84162
548,C0003873,Rheumatoid Arthritis,847
549,C0003873,Rheumatoid Arthritis,84709
550,C0003873,Rheumatoid Arthritis,84752
551,C0003873,Rheumatoid Arthritis,85313
552,C0003873,Rheumatoid Arthritis,858
553,C0003873,Rheumatoid Arthritis,860
554,C0003873,Rheumatoid Arthritis,8604
555,C0003873,Rheumatoid Arthritis,861
556,C0003873,Rheumatoid Arthritis,8714
557,C0003873,Rheumatoid Arthritis,8740
558,C0003873,Rheumatoid Arthritis,8764
559,C0003873,Rheumatoid Arthritis,8836
560,C0003873,Rheumatoid Arthritis,90355
561,C0003873,Rheumatoid Arthritis,9052
562,C0003873,Rheumatoid Arthritis,9135
563,C0003873,Rheumatoid Arthritis,914
564,C0003873,Rheumatoid Arthritis,9145
565,C0003873,Rheumatoid Arthritis,916
566,C0003873,Rheumatoid Arthritis,921
567,C0003873,Rheumatoid Arthritis,9308
568,C0003873,Rheumatoid Arthritis,9355
569,C0003873,Rheumatoid Arthritis,9370
570,C0003873,Rheumatoid Arthritis,940
571,C0003873,Rheumatoid Arthritis,9415
572,C0003873,Rheumatoid Arthritis,9429
573,C0003873,Rheumatoid Arthritis,9474
574,C0003873,Rheumatoid Arthritis,958
575,C0003872,"Arthritis, Psoriatic",10758
576,C0003872,"Arthritis, Psoriatic",3107
577,C0003872,"Arthritis, Psoriatic",3576
578,C0003872,"Arthritis, Psoriatic",3593
579,C0003872,"Arthritis, Psoriatic",400957
580,C0003872,"Arthritis, Psoriatic",4049
581,C0003872,"Arthritis, Psoriatic",4210
582,C0003872,"Arthritis, Psoriatic",4843
583,C0003872,"Arthritis, Psoriatic",4929
584,C0003872,"Arthritis, Psoriatic",54620
585,C0003872,"Arthritis, Psoriatic",5966
586,C0003872,"Arthritis, Psoriatic",64127
587,C0003872,"Arthritis, Psoriatic",643749
588,C0003872,"Arthritis, Psoriatic",652
589,C0003872,"Arthritis, Psoriatic",7124
590,C0003872,"Arthritis, Psoriatic",860
591,C0003872,"Arthritis, Psoriatic",968
592,C0002871,Anemia,10533
593,C0002871,Anemia,113235
594,C0002871,Anemia,142
595,C0002871,Anemia,1437
596,C0002871,Anemia,1440
597,C0002871,Anemia,183
598,C0002871,Anemia,2056
599,C0002871,Anemia,2936
600,C0002871,Anemia,30061
601,C0002871,Anemia,3240
602,C0002871,Anemia,3440
603,C0002871,Anemia,3481
604,C0002871,Anemia,3558
605,C0002871,Anemia,3562
606,C0002871,Anemia,374569
607,C0002871,Anemia,4524
608,C0002871,Anemia,51312
609,C0002871,Anemia,538
610,C0002871,Anemia,5617
611,C0002871,Anemia,5741
612,C0002871,Anemia,57817
613,C0002871,Anemia,5972
614,C0002871,Anemia,6648
615,C0002871,Anemia,7124
616,C0002871,Anemia,7298
617,C0002871,Anemia,8797
618,C0002871,Anemia,9474
619,C0206698,Cholangiocarcinoma,10232
620,C0206698,Cholangiocarcinoma,1956
621,C0206698,Cholangiocarcinoma,2064
622,C0206698,Cholangiocarcinoma,2263
623,C0206698,Cholangiocarcinoma,2778
624,C0206698,Cholangiocarcinoma,3417
625,C0206698,Cholangiocarcinoma,3418
626,C0206698,Cholangiocarcinoma,3569
627,C0206698,Cholangiocarcinoma,3845
628,C0206698,Cholangiocarcinoma,4089
629,C0206698,Cholangiocarcinoma,4843
630,C0206698,Cholangiocarcinoma,5178
631,C0206698,Cholangiocarcinoma,54894
632,C0206698,Cholangiocarcinoma,55193
633,C0206698,Cholangiocarcinoma,5566
634,C0206698,Cholangiocarcinoma,5567
635,C0206698,Cholangiocarcinoma,5743
